2025-08-29T13:13:27+01:00  13:13:27 up 11 days, 23:59,  1 user,  load average: 0.73, 7.60, 14.75
2025-08-29T13:33:30+01:00  13:33:30 up 12 days, 19 min,  1 user,  load average: 12.19, 11.46, 11.67
2025-08-29T13:33:35+01:00  13:33:35 up 12 days, 19 min,  1 user,  load average: 11.85, 11.40, 11.65
2025-08-29T13:33:40+01:00  13:33:40 up 12 days, 19 min,  1 user,  load average: 10.90, 11.21, 11.58
2025-08-29T13:33:45+01:00  13:33:45 up 12 days, 19 min,  1 user,  load average: 10.03, 11.02, 11.52
2025-08-29T13:33:50+01:00  13:33:50 up 12 days, 19 min,  1 user,  load average: 10.03, 11.01, 11.51
2025-08-29T13:33:55+01:00  13:33:55 up 12 days, 19 min,  1 user,  load average: 9.46, 10.87, 11.47
2025-08-29T13:34:00+01:00  13:34:00 up 12 days, 19 min,  1 user,  load average: 9.10, 10.77, 11.43
2025-08-29T13:34:05+01:00  13:34:05 up 12 days, 19 min,  1 user,  load average: 8.62, 10.64, 11.39
2025-08-29T13:34:10+01:00  13:34:10 up 12 days, 19 min,  1 user,  load average: 8.73, 10.63, 11.38
2025-08-29T13:34:15+01:00  13:34:15 up 12 days, 19 min,  1 user,  load average: 8.83, 10.62, 11.37
2025-08-29T13:34:20+01:00  13:34:20 up 12 days, 19 min,  1 user,  load average: 9.64, 10.76, 11.41
2025-08-29T13:34:25+01:00  13:34:25 up 12 days, 20 min,  1 user,  load average: 10.47, 10.92, 11.46
2025-08-29T13:34:30+01:00  13:34:30 up 12 days, 20 min,  1 user,  load average: 10.44, 10.90, 11.45
2025-08-29T13:34:35+01:00  13:34:35 up 12 days, 20 min,  1 user,  load average: 10.80, 10.97, 11.47
2025-08-29T13:34:40+01:00  13:34:40 up 12 days, 20 min,  1 user,  load average: 11.78, 11.17, 11.53
2025-08-29T13:34:45+01:00  13:34:45 up 12 days, 20 min,  1 user,  load average: 11.80, 11.18, 11.53
2025-08-29T13:34:50+01:00  13:34:50 up 12 days, 20 min,  1 user,  load average: 12.21, 11.28, 11.56
2025-08-29T13:34:55+01:00  13:34:55 up 12 days, 20 min,  1 user,  load average: 11.72, 11.19, 11.53
2025-08-29T13:35:00+01:00  13:35:00 up 12 days, 20 min,  1 user,  load average: 12.06, 11.27, 11.56
2025-08-29T13:35:05+01:00  13:35:05 up 12 days, 20 min,  1 user,  load average: 11.65, 11.20, 11.53
2025-08-29T13:35:10+01:00  13:35:10 up 12 days, 20 min,  1 user,  load average: 12.48, 11.38, 11.59
2025-08-29T13:35:15+01:00  13:35:15 up 12 days, 20 min,  1 user,  load average: 11.88, 11.27, 11.55
2025-08-29T13:35:20+01:00  13:35:20 up 12 days, 20 min,  1 user,  load average: 12.69, 11.45, 11.61
2025-08-29T13:35:25+01:00  13:35:25 up 12 days, 21 min,  1 user,  load average: 11.76, 11.28, 11.55
2025-08-29T13:35:30+01:00  13:35:30 up 12 days, 21 min,  1 user,  load average: 11.94, 11.32, 11.57
2025-08-29T13:35:35+01:00  13:35:35 up 12 days, 21 min,  1 user,  load average: 11.70, 11.29, 11.55
2025-08-29T13:35:40+01:00  13:35:40 up 12 days, 21 min,  1 user,  load average: 11.56, 11.26, 11.54
2025-08-29T13:35:45+01:00  13:35:45 up 12 days, 21 min,  1 user,  load average: 10.64, 11.08, 11.48
2025-08-29T13:35:50+01:00  13:35:50 up 12 days, 21 min,  1 user,  load average: 10.35, 11.01, 11.46
2025-08-29T13:35:55+01:00  13:35:55 up 12 days, 21 min,  1 user,  load average: 9.84, 10.89, 11.42
2025-08-29T13:36:00+01:00  13:36:00 up 12 days, 21 min,  1 user,  load average: 9.77, 10.86, 11.40
2025-08-29T13:36:05+01:00  13:36:05 up 12 days, 21 min,  1 user,  load average: 9.07, 10.70, 11.35
2025-08-29T13:36:10+01:00  13:36:10 up 12 days, 21 min,  1 user,  load average: 9.70, 10.80, 11.38
2025-08-29T13:36:15+01:00  13:36:15 up 12 days, 21 min,  1 user,  load average: 9.73, 10.79, 11.37
2025-08-29T13:36:20+01:00  13:36:20 up 12 days, 21 min,  1 user,  load average: 9.83, 10.79, 11.37
2025-08-29T13:36:25+01:00  13:36:25 up 12 days, 22 min,  1 user,  load average: 9.44, 10.70, 11.33
2025-08-29T13:36:30+01:00  13:36:30 up 12 days, 22 min,  1 user,  load average: 11.17, 11.03, 11.44
2025-08-29T13:36:35+01:00  13:36:35 up 12 days, 22 min,  1 user,  load average: 11.16, 11.03, 11.44
2025-08-29T13:36:40+01:00  13:36:40 up 12 days, 22 min,  1 user,  load average: 11.14, 11.03, 11.43
2025-08-29T13:36:45+01:00  13:36:45 up 12 days, 22 min,  1 user,  load average: 12.09, 11.23, 11.50
2025-08-29T13:36:50+01:00  13:36:50 up 12 days, 22 min,  1 user,  load average: 11.12, 11.04, 11.43
2025-08-29T13:36:55+01:00  13:36:55 up 12 days, 22 min,  1 user,  load average: 10.87, 10.99, 11.42
2025-08-29T13:37:00+01:00  13:37:00 up 12 days, 22 min,  1 user,  load average: 10.80, 10.98, 11.41
2025-08-29T13:37:05+01:00  13:37:05 up 12 days, 22 min,  1 user,  load average: 11.38, 11.09, 11.44
2025-08-29T13:37:10+01:00  13:37:10 up 12 days, 22 min,  1 user,  load average: 11.43, 11.11, 11.45
2025-08-29T13:37:15+01:00  13:37:15 up 12 days, 22 min,  1 user,  load average: 10.83, 10.99, 11.41
2025-08-29T13:37:20+01:00  13:37:20 up 12 days, 22 min,  1 user,  load average: 11.17, 11.06, 11.43
2025-08-29T13:37:25+01:00  13:37:25 up 12 days, 23 min,  1 user,  load average: 10.43, 10.91, 11.38
2025-08-29T13:37:30+01:00  13:37:30 up 12 days, 23 min,  1 user,  load average: 10.40, 10.89, 11.37
2025-08-29T13:37:35+01:00  13:37:35 up 12 days, 23 min,  1 user,  load average: 10.21, 10.84, 11.35
2025-08-29T13:37:40+01:00  13:37:40 up 12 days, 23 min,  1 user,  load average: 10.99, 11.00, 11.40
2025-08-29T13:37:45+01:00  13:37:45 up 12 days, 23 min,  1 user,  load average: 10.27, 10.85, 11.35
2025-08-29T13:37:50+01:00  13:37:50 up 12 days, 23 min,  1 user,  load average: 11.69, 11.13, 11.44
2025-08-29T13:37:55+01:00  13:37:55 up 12 days, 23 min,  1 user,  load average: 12.60, 11.33, 11.50
2025-08-29T13:38:00+01:00  13:38:00 up 12 days, 23 min,  1 user,  load average: 13.19, 11.47, 11.54
2025-08-29T13:38:05+01:00  13:38:05 up 12 days, 23 min,  1 user,  load average: 12.77, 11.41, 11.52
2025-08-29T13:38:10+01:00  13:38:10 up 12 days, 23 min,  1 user,  load average: 13.51, 11.59, 11.58
2025-08-29T13:38:15+01:00  13:38:15 up 12 days, 23 min,  1 user,  load average: 12.75, 11.46, 11.54
2025-08-29T13:38:20+01:00  13:38:20 up 12 days, 23 min,  1 user,  load average: 13.41, 11.62, 11.59
2025-08-29T13:38:25+01:00  13:38:25 up 12 days, 24 min,  1 user,  load average: 13.22, 11.61, 11.59
2025-08-29T13:38:30+01:00  13:38:30 up 12 days, 24 min,  1 user,  load average: 13.36, 11.67, 11.61
2025-08-29T13:38:35+01:00  13:38:35 up 12 days, 24 min,  1 user,  load average: 13.17, 11.66, 11.60
2025-08-29T13:38:40+01:00  13:38:40 up 12 days, 24 min,  1 user,  load average: 13.40, 11.73, 11.63
2025-08-29T13:38:45+01:00  13:38:45 up 12 days, 24 min,  1 user,  load average: 13.05, 11.68, 11.61
2025-08-29T13:38:50+01:00  13:38:50 up 12 days, 24 min,  1 user,  load average: 13.68, 11.84, 11.66
2025-08-29T13:38:55+01:00  13:38:55 up 12 days, 24 min,  1 user,  load average: 12.67, 11.66, 11.61
2025-08-29T13:39:00+01:00  13:39:00 up 12 days, 24 min,  1 user,  load average: 11.65, 11.46, 11.54
2025-08-29T13:39:05+01:00  13:39:05 up 12 days, 24 min,  1 user,  load average: 11.68, 11.47, 11.55
2025-08-29T13:39:10+01:00  13:39:10 up 12 days, 24 min,  1 user,  load average: 11.87, 11.52, 11.56
2025-08-29T13:39:15+01:00  13:39:15 up 12 days, 24 min,  1 user,  load average: 12.28, 11.61, 11.59
2025-08-29T13:39:20+01:00  13:39:20 up 12 days, 24 min,  1 user,  load average: 11.77, 11.51, 11.56
2025-08-29T13:39:25+01:00  13:39:25 up 12 days, 25 min,  1 user,  load average: 10.83, 11.32, 11.50
2025-08-29T13:39:30+01:00  13:39:30 up 12 days, 25 min,  1 user,  load average: 11.33, 11.42, 11.53
2025-08-29T13:39:35+01:00  13:39:35 up 12 days, 25 min,  1 user,  load average: 10.66, 11.28, 11.48
2025-08-29T13:39:40+01:00  13:39:40 up 12 days, 25 min,  1 user,  load average: 11.33, 11.41, 11.52
2025-08-29T13:39:45+01:00  13:39:45 up 12 days, 25 min,  1 user,  load average: 10.98, 11.33, 11.50
2025-08-29T13:39:50+01:00  13:39:50 up 12 days, 25 min,  1 user,  load average: 10.18, 11.16, 11.44
2025-08-29T13:39:55+01:00  13:39:55 up 12 days, 25 min,  1 user,  load average: 9.77, 11.06, 11.41
2025-08-29T13:40:00+01:00  13:40:00 up 12 days, 25 min,  1 user,  load average: 10.18, 11.12, 11.42
2025-08-29T13:40:05+01:00  13:40:05 up 12 days, 25 min,  1 user,  load average: 9.69, 11.00, 11.38
2025-08-29T13:40:10+01:00  13:40:10 up 12 days, 25 min,  1 user,  load average: 9.55, 10.95, 11.37
2025-08-29T13:40:16+01:00  13:40:16 up 12 days, 25 min,  1 user,  load average: 8.95, 10.81, 11.32
2025-08-29T13:40:21+01:00  13:40:21 up 12 days, 25 min,  1 user,  load average: 8.87, 10.76, 11.30
2025-08-29T13:40:26+01:00  13:40:26 up 12 days, 26 min,  1 user,  load average: 9.04, 10.76, 11.30
2025-08-29T13:40:31+01:00  13:40:31 up 12 days, 26 min,  1 user,  load average: 9.44, 10.82, 11.31
2025-08-29T13:40:36+01:00  13:40:36 up 12 days, 26 min,  1 user,  load average: 10.85, 11.09, 11.39
2025-08-29T13:40:41+01:00  13:40:41 up 12 days, 26 min,  1 user,  load average: 11.50, 11.22, 11.44
2025-08-29T13:40:46+01:00  13:40:46 up 12 days, 26 min,  1 user,  load average: 12.10, 11.35, 11.48
2025-08-29T13:40:51+01:00  13:40:51 up 12 days, 26 min,  1 user,  load average: 12.09, 11.36, 11.48
2025-08-29T13:40:56+01:00  13:40:56 up 12 days, 26 min,  1 user,  load average: 11.44, 11.24, 11.44
2025-08-29T13:41:01+01:00  13:41:01 up 12 days, 26 min,  1 user,  load average: 11.49, 11.25, 11.44
2025-08-29T13:41:06+01:00  13:41:06 up 12 days, 26 min,  1 user,  load average: 10.57, 11.06, 11.38
2025-08-29T13:41:11+01:00  13:41:11 up 12 days, 26 min,  1 user,  load average: 11.24, 11.19, 11.42
2025-08-29T13:41:16+01:00  13:41:16 up 12 days, 26 min,  1 user,  load average: 10.66, 11.07, 11.38
2025-08-29T13:41:21+01:00  13:41:21 up 12 days, 26 min,  1 user,  load average: 10.85, 11.11, 11.39
2025-08-29T13:41:26+01:00  13:41:26 up 12 days, 27 min,  1 user,  load average: 11.34, 11.20, 11.42
2025-08-29T13:41:31+01:00  13:41:31 up 12 days, 27 min,  1 user,  load average: 11.24, 11.18, 11.41
2025-08-29T13:41:36+01:00  13:41:36 up 12 days, 27 min,  1 user,  load average: 11.38, 11.21, 11.42
2025-08-29T13:41:41+01:00  13:41:41 up 12 days, 27 min,  1 user,  load average: 12.15, 11.38, 11.47
2025-08-29T13:41:46+01:00  13:41:46 up 12 days, 27 min,  1 user,  load average: 11.74, 11.30, 11.45
2025-08-29T13:41:51+01:00  13:41:51 up 12 days, 27 min,  1 user,  load average: 12.16, 11.40, 11.48
2025-08-29T13:41:56+01:00  13:41:56 up 12 days, 27 min,  1 user,  load average: 11.98, 11.38, 11.47
2025-08-29T13:42:01+01:00  13:42:01 up 12 days, 27 min,  1 user,  load average: 12.95, 11.59, 11.54
2025-08-29T13:42:06+01:00  13:42:06 up 12 days, 27 min,  1 user,  load average: 13.19, 11.66, 11.56
2025-08-29T13:42:11+01:00  13:42:11 up 12 days, 27 min,  1 user,  load average: 12.30, 11.50, 11.51
2025-08-29T13:42:16+01:00  13:42:16 up 12 days, 27 min,  1 user,  load average: 11.95, 11.44, 11.49
2025-08-29T13:42:21+01:00  13:42:21 up 12 days, 27 min,  1 user,  load average: 12.12, 11.48, 11.51
2025-08-29T13:42:26+01:00  13:42:26 up 12 days, 28 min,  1 user,  load average: 12.35, 11.54, 11.52
2025-08-29T13:42:31+01:00  13:42:31 up 12 days, 28 min,  1 user,  load average: 13.28, 11.75, 11.59
2025-08-29T13:42:36+01:00  13:42:36 up 12 days, 28 min,  1 user,  load average: 13.98, 11.92, 11.65
2025-08-29T13:42:41+01:00  13:42:41 up 12 days, 28 min,  1 user,  load average: 14.22, 12.00, 11.68
2025-08-29T13:42:46+01:00  13:42:46 up 12 days, 28 min,  1 user,  load average: 13.96, 11.99, 11.67
2025-08-29T13:42:51+01:00  13:42:51 up 12 days, 28 min,  1 user,  load average: 13.89, 12.00, 11.68
2025-08-29T13:42:56+01:00  13:42:56 up 12 days, 28 min,  1 user,  load average: 14.22, 12.10, 11.71
2025-08-29T13:43:01+01:00  13:43:01 up 12 days, 28 min,  1 user,  load average: 14.44, 12.19, 11.74
2025-08-29T13:43:06+01:00  13:43:06 up 12 days, 28 min,  1 user,  load average: 14.88, 12.32, 11.79
2025-08-29T13:43:11+01:00  13:43:11 up 12 days, 28 min,  1 user,  load average: 14.49, 12.28, 11.78
2025-08-29T13:43:16+01:00  13:43:16 up 12 days, 28 min,  1 user,  load average: 13.41, 12.09, 11.72
2025-08-29T13:43:21+01:00  13:43:21 up 12 days, 28 min,  1 user,  load average: 13.70, 12.17, 11.75
2025-08-29T13:43:26+01:00  13:43:26 up 12 days, 29 min,  1 user,  load average: 14.04, 12.27, 11.78
2025-08-29T13:43:31+01:00  13:43:31 up 12 days, 29 min,  1 user,  load average: 14.52, 12.40, 11.83
2025-08-29T13:43:36+01:00  13:43:36 up 12 days, 29 min,  1 user,  load average: 15.12, 12.56, 11.88
2025-08-29T13:43:41+01:00  13:43:41 up 12 days, 29 min,  1 user,  load average: 15.03, 12.58, 11.89
2025-08-29T13:43:46+01:00  13:43:46 up 12 days, 29 min,  1 user,  load average: 16.39, 12.90, 12.00
2025-08-29T13:43:51+01:00  13:43:51 up 12 days, 29 min,  1 user,  load average: 15.96, 12.87, 12.00
2025-08-29T13:43:56+01:00  13:43:56 up 12 days, 29 min,  1 user,  load average: 15.96, 12.92, 12.02
2025-08-29T13:44:01+01:00  13:44:01 up 12 days, 29 min,  1 user,  load average: 15.32, 12.84, 12.00
2025-08-29T13:44:06+01:00  13:44:06 up 12 days, 29 min,  1 user,  load average: 16.26, 13.08, 12.08
2025-08-29T13:44:11+01:00  13:44:11 up 12 days, 29 min,  1 user,  load average: 15.44, 12.96, 12.04
2025-08-29T13:44:16+01:00  13:44:16 up 12 days, 29 min,  1 user,  load average: 15.96, 13.11, 12.10
2025-08-29T13:44:21+01:00  13:44:21 up 12 days, 29 min,  1 user,  load average: 15.16, 12.99, 12.06
2025-08-29T13:44:26+01:00  13:44:26 up 12 days, 30 min,  1 user,  load average: 14.99, 12.99, 12.07
2025-08-29T13:44:31+01:00  13:44:31 up 12 days, 30 min,  1 user,  load average: 14.19, 12.86, 12.03
2025-08-29T13:44:36+01:00  13:44:36 up 12 days, 30 min,  1 user,  load average: 14.66, 12.98, 12.08
2025-08-29T13:44:41+01:00  13:44:41 up 12 days, 30 min,  1 user,  load average: 14.36, 12.94, 12.07
2025-08-29T13:44:46+01:00  13:44:46 up 12 days, 30 min,  1 user,  load average: 16.18, 13.34, 12.20
2025-08-29T13:44:51+01:00  13:44:51 up 12 days, 30 min,  1 user,  load average: 16.00, 13.36, 12.21
2025-08-29T13:44:56+01:00  13:44:56 up 12 days, 30 min,  1 user,  load average: 16.72, 13.55, 12.28
2025-08-29T13:45:01+01:00  13:45:01 up 12 days, 30 min,  1 user,  load average: 17.15, 13.69, 12.33
2025-08-29T13:45:06+01:00  13:45:06 up 12 days, 30 min,  1 user,  load average: 17.21, 13.76, 12.37
2025-08-29T13:45:11+01:00  13:45:11 up 12 days, 30 min,  1 user,  load average: 17.12, 13.80, 12.38
2025-08-29T13:45:16+01:00  13:45:16 up 12 days, 30 min,  1 user,  load average: 16.71, 13.77, 12.38
2025-08-29T13:45:21+01:00  13:45:21 up 12 days, 30 min,  1 user,  load average: 15.37, 13.54, 12.32
2025-08-29T13:45:26+01:00  13:45:26 up 12 days, 31 min,  1 user,  load average: 14.38, 13.36, 12.27
2025-08-29T13:45:31+01:00  13:45:31 up 12 days, 31 min,  1 user,  load average: 14.51, 13.41, 12.29
2025-08-29T13:45:37+01:00  13:45:37 up 12 days, 31 min,  1 user,  load average: 14.15, 13.35, 12.27
2025-08-29T13:45:42+01:00  13:45:42 up 12 days, 31 min,  1 user,  load average: 14.30, 13.40, 12.29
2025-08-29T13:45:47+01:00  13:45:47 up 12 days, 31 min,  1 user,  load average: 13.87, 13.32, 12.27
2025-08-29T13:45:52+01:00  13:45:52 up 12 days, 31 min,  1 user,  load average: 12.92, 13.13, 12.22
2025-08-29T13:45:57+01:00  13:45:57 up 12 days, 31 min,  1 user,  load average: 13.33, 13.22, 12.25
2025-08-29T13:46:02+01:00  13:46:02 up 12 days, 31 min,  1 user,  load average: 12.34, 13.01, 12.19
2025-08-29T13:46:07+01:00  13:46:07 up 12 days, 31 min,  1 user,  load average: 12.55, 13.05, 12.20
2025-08-29T13:46:12+01:00  13:46:12 up 12 days, 31 min,  1 user,  load average: 12.59, 13.04, 12.21
2025-08-29T13:46:17+01:00  13:46:17 up 12 days, 31 min,  1 user,  load average: 12.30, 12.98, 12.19
2025-08-29T13:46:22+01:00  13:46:22 up 12 days, 31 min,  1 user,  load average: 12.04, 12.91, 12.17
2025-08-29T13:46:27+01:00  13:46:27 up 12 days, 32 min,  1 user,  load average: 11.71, 12.83, 12.15
2025-08-29T13:46:32+01:00  13:46:32 up 12 days, 32 min,  1 user,  load average: 12.14, 12.90, 12.18
2025-08-29T13:46:37+01:00  13:46:37 up 12 days, 32 min,  1 user,  load average: 12.29, 12.92, 12.19
2025-08-29T13:46:42+01:00  13:46:42 up 12 days, 32 min,  1 user,  load average: 12.10, 12.87, 12.18
2025-08-29T13:46:47+01:00  13:46:47 up 12 days, 32 min,  1 user,  load average: 12.82, 13.00, 12.22
2025-08-29T13:46:52+01:00  13:46:52 up 12 days, 32 min,  1 user,  load average: 13.15, 13.07, 12.25
2025-08-29T13:46:57+01:00  13:46:57 up 12 days, 32 min,  1 user,  load average: 13.38, 13.12, 12.27
2025-08-29T13:47:02+01:00  13:47:02 up 12 days, 32 min,  1 user,  load average: 13.43, 13.13, 12.28
2025-08-29T13:47:07+01:00  13:47:07 up 12 days, 32 min,  1 user,  load average: 14.28, 13.31, 12.34
2025-08-29T13:47:12+01:00  13:47:12 up 12 days, 32 min,  1 user,  load average: 13.61, 13.19, 12.31
2025-08-29T13:47:17+01:00  13:47:17 up 12 days, 32 min,  1 user,  load average: 13.32, 13.14, 12.30
2025-08-29T13:47:22+01:00  13:47:22 up 12 days, 32 min,  1 user,  load average: 14.10, 13.30, 12.35
2025-08-29T13:47:27+01:00  13:47:27 up 12 days, 33 min,  1 user,  load average: 14.41, 13.38, 12.38
2025-08-29T13:47:32+01:00  13:47:32 up 12 days, 33 min,  1 user,  load average: 13.58, 13.23, 12.34
2025-08-29T13:47:37+01:00  13:47:37 up 12 days, 33 min,  1 user,  load average: 14.17, 13.36, 12.39
2025-08-29T13:47:42+01:00  13:47:42 up 12 days, 33 min,  1 user,  load average: 14.64, 13.47, 12.43
2025-08-29T13:47:47+01:00  13:47:47 up 12 days, 33 min,  1 user,  load average: 15.63, 13.69, 12.51
2025-08-29T13:47:52+01:00  13:47:52 up 12 days, 33 min,  1 user,  load average: 14.54, 13.50, 12.45
2025-08-29T13:47:57+01:00  13:47:57 up 12 days, 33 min,  1 user,  load average: 14.89, 13.59, 12.48
2025-08-29T13:48:02+01:00  13:48:02 up 12 days, 33 min,  1 user,  load average: 14.34, 13.50, 12.46
2025-08-29T13:48:07+01:00  13:48:07 up 12 days, 33 min,  1 user,  load average: 14.47, 13.54, 12.48
2025-08-29T13:48:12+01:00  13:48:12 up 12 days, 33 min,  1 user,  load average: 13.56, 13.36, 12.43
2025-08-29T13:48:17+01:00  13:48:17 up 12 days, 33 min,  1 user,  load average: 14.23, 13.51, 12.48
2025-08-29T13:48:22+01:00  13:48:22 up 12 days, 33 min,  1 user,  load average: 13.41, 13.35, 12.43
2025-08-29T13:48:27+01:00  13:48:27 up 12 days, 34 min,  1 user,  load average: 13.78, 13.42, 12.46
2025-08-29T13:48:32+01:00  13:48:32 up 12 days, 34 min,  1 user,  load average: 12.76, 13.22, 12.40
2025-08-29T13:48:37+01:00  13:48:37 up 12 days, 34 min,  1 user,  load average: 12.62, 13.18, 12.39
2025-08-29T13:48:42+01:00  13:48:42 up 12 days, 34 min,  1 user,  load average: 12.01, 13.04, 12.35
2025-08-29T13:48:47+01:00  13:48:47 up 12 days, 34 min,  1 user,  load average: 12.89, 13.21, 12.41
2025-08-29T13:48:52+01:00  13:48:52 up 12 days, 34 min,  1 user,  load average: 12.82, 13.19, 12.41
2025-08-29T13:48:57+01:00  13:48:57 up 12 days, 34 min,  1 user,  load average: 13.95, 13.42, 12.49
2025-08-29T13:49:02+01:00  13:49:02 up 12 days, 34 min,  1 user,  load average: 13.96, 13.43, 12.50
2025-08-29T13:49:07+01:00  13:49:07 up 12 days, 34 min,  1 user,  load average: 13.96, 13.44, 12.50
2025-08-29T13:49:12+01:00  13:49:12 up 12 days, 34 min,  1 user,  load average: 13.56, 13.37, 12.49
2025-08-29T13:49:17+01:00  13:49:17 up 12 days, 34 min,  1 user,  load average: 13.92, 13.44, 12.52
2025-08-29T13:49:22+01:00  13:49:22 up 12 days, 34 min,  1 user,  load average: 13.76, 13.42, 12.51
2025-08-29T13:49:27+01:00  13:49:27 up 12 days, 35 min,  1 user,  load average: 14.34, 13.54, 12.56
2025-08-29T13:49:32+01:00  13:49:32 up 12 days, 35 min,  1 user,  load average: 13.67, 13.42, 12.52
2025-08-29T13:49:37+01:00  13:49:37 up 12 days, 35 min,  1 user,  load average: 13.38, 13.36, 12.51
2025-08-29T13:49:42+01:00  13:49:42 up 12 days, 35 min,  1 user,  load average: 12.31, 13.14, 12.44
2025-08-29T13:49:47+01:00  13:49:47 up 12 days, 35 min,  1 user,  load average: 13.73, 13.42, 12.54
2025-08-29T13:49:52+01:00  13:49:52 up 12 days, 35 min,  1 user,  load average: 13.75, 13.43, 12.54
2025-08-29T13:49:57+01:00  13:49:57 up 12 days, 35 min,  1 user,  load average: 13.53, 13.39, 12.54
2025-08-29T13:50:03+01:00  13:50:03 up 12 days, 35 min,  1 user,  load average: 13.25, 13.33, 12.52
2025-08-29T13:50:08+01:00  13:50:08 up 12 days, 35 min,  1 user,  load average: 13.63, 13.41, 12.55
2025-08-29T13:50:13+01:00  13:50:13 up 12 days, 35 min,  1 user,  load average: 13.58, 13.40, 12.56
2025-08-29T13:50:18+01:00  13:50:18 up 12 days, 35 min,  1 user,  load average: 12.81, 13.25, 12.51
2025-08-29T13:50:23+01:00  13:50:23 up 12 days, 35 min,  1 user,  load average: 14.11, 13.51, 12.60
2025-08-29T13:50:28+01:00  13:50:28 up 12 days, 36 min,  1 user,  load average: 14.66, 13.63, 12.64
2025-08-29T13:50:33+01:00  13:50:33 up 12 days, 36 min,  1 user,  load average: 13.88, 13.49, 12.60
2025-08-29T13:50:38+01:00  13:50:38 up 12 days, 36 min,  1 user,  load average: 13.97, 13.51, 12.61
2025-08-29T13:50:43+01:00  13:50:43 up 12 days, 36 min,  1 user,  load average: 13.58, 13.44, 12.60
2025-08-29T13:50:48+01:00  13:50:48 up 12 days, 36 min,  1 user,  load average: 14.49, 13.63, 12.66
2025-08-29T13:50:53+01:00  13:50:53 up 12 days, 36 min,  1 user,  load average: 14.13, 13.57, 12.65
2025-08-29T13:50:58+01:00  13:50:58 up 12 days, 36 min,  1 user,  load average: 14.12, 13.58, 12.65
2025-08-29T13:51:03+01:00  13:51:03 up 12 days, 36 min,  1 user,  load average: 14.11, 13.59, 12.66
2025-08-29T13:51:08+01:00  13:51:08 up 12 days, 36 min,  1 user,  load average: 14.34, 13.64, 12.69
2025-08-29T13:51:13+01:00  13:51:13 up 12 days, 36 min,  1 user,  load average: 14.79, 13.75, 12.72
2025-08-29T13:51:18+01:00  13:51:18 up 12 days, 36 min,  1 user,  load average: 16.09, 14.04, 12.82
2025-08-29T13:51:23+01:00  13:51:23 up 12 days, 36 min,  1 user,  load average: 18.01, 14.47, 12.97
2025-08-29T13:51:28+01:00  13:51:28 up 12 days, 37 min,  1 user,  load average: 17.45, 14.41, 12.96
2025-08-29T13:51:33+01:00  13:51:33 up 12 days, 37 min,  1 user,  load average: 18.37, 14.65, 13.05
2025-08-29T13:51:38+01:00  13:51:38 up 12 days, 37 min,  1 user,  load average: 18.90, 14.82, 13.11
2025-08-29T13:51:43+01:00  13:51:43 up 12 days, 37 min,  1 user,  load average: 18.75, 14.86, 13.13
2025-08-29T13:51:48+01:00  13:51:48 up 12 days, 37 min,  1 user,  load average: 17.25, 14.61, 13.06
2025-08-29T13:51:53+01:00  13:51:53 up 12 days, 37 min,  1 user,  load average: 15.87, 14.37, 12.99
2025-08-29T13:51:58+01:00  13:51:58 up 12 days, 37 min,  1 user,  load average: 15.32, 14.28, 12.97
2025-08-29T13:52:03+01:00  13:52:03 up 12 days, 37 min,  1 user,  load average: 14.73, 14.18, 12.94
2025-08-29T13:52:08+01:00  13:52:08 up 12 days, 37 min,  1 user,  load average: 16.11, 14.47, 13.04
2025-08-29T13:52:13+01:00  13:52:13 up 12 days, 37 min,  1 user,  load average: 15.62, 14.40, 13.03
2025-08-29T13:52:18+01:00  13:52:18 up 12 days, 37 min,  1 user,  load average: 14.45, 14.18, 12.96
2025-08-29T13:52:23+01:00  13:52:23 up 12 days, 37 min,  1 user,  load average: 14.98, 14.29, 13.01
2025-08-29T13:52:28+01:00  13:52:28 up 12 days, 38 min,  1 user,  load average: 14.98, 14.30, 13.02
2025-08-29T13:52:33+01:00  13:52:33 up 12 days, 38 min,  1 user,  load average: 14.26, 14.16, 12.98
2025-08-29T13:52:38+01:00  13:52:38 up 12 days, 38 min,  1 user,  load average: 13.84, 14.08, 12.96
2025-08-29T13:52:43+01:00  13:52:43 up 12 days, 38 min,  1 user,  load average: 14.73, 14.26, 13.02
2025-08-29T13:52:48+01:00  13:52:48 up 12 days, 38 min,  1 user,  load average: 14.43, 14.20, 13.01
2025-08-29T13:52:53+01:00  13:52:53 up 12 days, 38 min,  1 user,  load average: 14.00, 14.12, 12.99
2025-08-29T13:52:58+01:00  13:52:58 up 12 days, 38 min,  1 user,  load average: 14.48, 14.22, 13.03
2025-08-29T13:53:03+01:00  13:53:03 up 12 days, 38 min,  1 user,  load average: 15.08, 14.35, 13.08
2025-08-29T13:53:08+01:00  13:53:08 up 12 days, 38 min,  1 user,  load average: 15.80, 14.51, 13.13
2025-08-29T13:53:13+01:00  13:53:13 up 12 days, 38 min,  1 user,  load average: 16.21, 14.61, 13.18
2025-08-29T13:53:18+01:00  13:53:18 up 12 days, 38 min,  1 user,  load average: 15.80, 14.55, 13.16
2025-08-29T13:53:23+01:00  13:53:23 up 12 days, 38 min,  1 user,  load average: 15.97, 14.61, 13.19
2025-08-29T13:53:28+01:00  13:53:28 up 12 days, 39 min,  1 user,  load average: 15.25, 14.48, 13.16
